cusip,sim,comp_st_years,comp_en_years,comp_conm,factiva_comp,factiva_tag,manual_tag
74731Q10,,,,PZENA INVESTMENT MANAGEMENT,Pzena Investment Management LLC,pzeiml,paitmg
74752510,0.75,1991,2018,QUALCOMM INC,Qualcomm Incorporated,qcom,qcom
74763310,0.844444444,1950,1992,QUANTUM CHEMICAL CORP,Quantum Chemical Corporation,ndc,ndc
74790650,0.75862069,1981,2016,QUANTUM CORP,Quantum Corporation,qntm,qntm
74835430,0.903225806,1986,1998,QUESTA OIL & GAS CO,QUESTA OIL AND GAS CO,qstog,qstog
74967X10,0.16,1996,2018,RH,"Restoration Hardware, Inc",reshar,
75031010,0.894736842,1974,1993,RADIATION SYSTEMS INC,Radiant Systems Inc,rasys,
75040Q10,0.923076923,1996,2002,RADIO UNICA COMMUNICATIONS,Radio Unica Communications Corp,runia,runia
75064210,0.756756757,1993,1999,RAGEN MACKENZIE GROUP INC,RAGEN MACKENZIE,ragmac,ragmac
75382110,0.875,1987,1997,RARITAN BANCORP INC/DE,RARITAN BANCORP,rartan,rartan
75523620,0.818181818,1995,2001,RAZORFISH INC,Razorfish,razfsh,razfsh
75535810,0.909090909,1982,2000,READING ENTERTAINMENT,Reading Entertainment Inc,redg,redg
75642210,0.882352941,1991,1997,RED BRICK SYSTEMS INC,RED BRICK SYSTEMS (CA),redbsy,redbsy
75893210,0.72,1982,2018,REGIS CORP/MN,Regis Corporation,rgis,rgis
75935160,0.905660377,1992,2018,REINSURANCE GROUP AMER INC,Reinsurance Group of America Inc,rganus,rganus
75942110,0.85,1982,1997,RELIABLE LIFE INS CO,RELIABLE LIFE INSURANCE CO,rlif,rlif
75965610,0.823529412,1986,1994,REN CORP-USA,REN CORP,renusa,renusa
76027610,0.941176471,2000,2015,REPUBLIC AIRWAYS HLDGS INC,Republic Airways Holdings Inc,ctqair,ctqair
76032210,0.808510638,1996,1998,REPUBLIC BANKING CORP/FL,Republic Banking Corp of Florida,rpblic,rpblic
76075810,0.925925926,1985,2000,REPUBLIC SECURITY FINANCIAL,REPUBLIC SECURITY FINANCIAL CORP,repsfc,repsfc
76093010,0.777777778,1963,1994,RESOURCE RECYCLING TECH,Resource Recycling Technologies Inc,rerete,rerete
76242T10,0.894736842,1961,1996,RHONE-POULENC RORER,Rhone Poulenc Rorer Inc,rorer,rorer
76657310,0.928571429,1985,2002,RIGHT MANAGEMENT CONSULTANTS,Right Management Consultants Inc,rigman,rigman
76932010,0.75,1995,2002,RIVERSTONE NETWORKS INC,Nortel Networks Corp,nortel,
77028810,0.714285714,1985,1994,ROBEC INC,RobEC,rbc,rbc
77390310,0.9,1950,2018,ROCKWELL AUTOMATION,Rockwell Automation Inc,rckwl,rckwl
77467X10,0.862068966,1984,2018,ROCKY MOUNTAIN CHOC FACT INC,Rocky Mountain Chocolate Factory Inc,rmcf,rmcf
77537110,0.869565217,1950,2008,ROHM AND HAAS CO,Rohm & Haas Co,roha,roha
77574110,0.904761905,1967,2000,ROLLINS TRUCK LEASING,Rollins Truck Leasing Corp.,rlc,rlc
77649310,0.92,1987,1996,ROOSEVELT FINANCIAL GROUP,ROOSEVELT FINANCIAL GROUP INC,roosl,roosl
77669610,0.65,1991,2018,ROPER TECHNOLOGIES INC,Roper Industries Inc,ropind,ropind
77890110,0.702702703,1984,1997,ROTECH MEDICAL CORP,Rotech Healthcare Inc,rotmed,rotmed
78007610,0.791666667,1990,2002,ROYAL APPLIANCE MFG CO,Royal Appliance Manufacturing Co,royapp,royapp
78090950,0.818181818,1985,1996,ROYCE LABORATORIES INC,ROYCE LABORATORIES,roylab,roylab
78135510,0.875,1978,1995,RULE INDUSTRIES INC,Rule Industries,rule,rule
78235210,0.75862069,1963,2005,RUSSELL CORP,Russell Corporation,ruslc,ruslc
78348310,0.764705882,1985,1997,RYAN BECK & CO INC,Ryan Beck Holdings Inc.,rybeck,rybeck
78409V10,0.457142857,1950,2018,S&P GLOBAL INC,McGraw Hill Financial Inc.,mcgrwh,
78410920,0.914285714,1986,2014,SED INTERNATIONAL HLDGS INC,SED International Holdings Inc,sothel,sothel
7.84E+14,0.833333333,1994,1997,SIS BANCORP,S I S BANCORP INC (MA),spisav,spisav
78467J10,0.941176471,1995,2018,SS&C TECHNOLOGIES HLDGS INC,SS&C Technologies Holdings Inc,ssandc,ssandc
78474110,0.833333333,1990,1998,STB SYSTEMS INC,"S T B SYSTEMS (RICHARDSON,TX)",stbsys,stbsys
78515210,0.928571429,1992,1997,SABA PETROLEUM CO,SABA PETROLEUM,sabpet,sabpet
78573M10,0.692307692,2009,2018,SABRE CORP,Sabre Holdings Corp,sagrho,sagrho
78647510,0.857142857,1990,1999,SAFETY FIRST INC,SAFETY 1ST INC,sftyfs,sftyfs
78989510,0.833333333,1986,1994,ST IVES LABORATORIES CORP/DE,ST IVES LABORATORIES,stivlb,stivlb
79065410,0.923076923,1958,1999,ST JOSEPH LIGHT & POWER,ST JOSEPH LIGHT AND POWER,saj,saj
79575710,0.352941176,1991,2008,SALTON INC,Bank of America Corporation,ncnbco,
79590310,0.72,1983,1989,SAMNA CORP,SAMNA CORPORATION,smnco,smnco
79970210,0.925925926,1995,2003,SANCHEZ COMPUTER ASSOCS INC,Sanchez Computer Associates Inc,snchez,snchez
79970Y10,0.702702703,2008,2018,SANCHEZ ENERGY CORP,Chesapeake Energy Corp,chspke,
80641610,0.888888889,1993,1999,SCHEIN PHARMACEUTICAL INC,SCHEIN PHARMACEUTICALS,schnph,schnph
80652810,0.818181818,1971,1997,SCHERER (R P)/DE,R.P. Scherer Inc,schrr,schrr
80688210,0.782608696,1993,2018,SCHNITZER STEEL INDS,Schnitzer Steel Industries Inc,sspc,sspc
81104610,0.961538462,1962,1993,SCRIPPS HOWARD BROADCASTING,SCRIPPS HOWARD BROADCASTING CO,scrp,scrp
81151110,0.882352941,1983,1994,SEABOARD BANCORP/VA,Seaboard Bancorp Inc,seasl,seasl
81154310,0.774193548,1960,2018,SEABOARD CORP,Seaboard Corporation,sebc,sebc
81170780,0.808510638,1984,2018,SEACOAST BANKING CORP/FL,Seacoast Banking Corp of Florida,seabc,seabc
81170Q10,0.925925926,1997,2003,SEACOAST FINANCIAL SERVICES,Seacoast Financial Services Corp,scstfn,scstfn
81238710,0.903225806,1950,2004,SEARS ROEBUCK & CO,"Sears, Roebuck and Co",serrob,serrob
81370510,0.844444444,1994,2007,SECURE COMPUTING CORP,Secure Computing Corporation,securc,securc
81404710,,,,SECURITY BANK CORP,Security Bank Corporation,secbph,secbph
81413140,0.882352941,1982,2005,SECURITY CAPITAL/DE,Security Capital Corp,sccorp,sccorp
81512610,0.9,1982,1991,SECURITY TAG SYSTEMS INC,SECURITY TAG SYSTEMS,secsys,secsys
81630010,0.875,1987,2018,SELECTIVE INS GROUP INC,Selective Insurance Group Inc,seling,seling
81726510,0.916666667,1971,2001,SENSORMATIC ELECTRONICS,Sensormatic Electronics Corp,sensel,sensel
81732210,0.904761905,1993,1996,SEQUANA THERAPEUTICS INC,SEQUANA THERAPEUTICS,seqthr,seqthr
81733810,0.916666667,1986,1998,SEQUENT COMPUTER SYSTEMS INC,Sequent Computer Systems,sqcs,sqcs
81790810,0.944444444,1979,1993,SERVICE FRACTURING CO,SERVICE FRACTURING,servf,servf
81806310,0.730769231,1988,2000,SEVENSON ENVIRON SVCS,Sevenson Environmental Services Inc,sesi,sesi
82300510,0.875,1986,1995,SHELTON BANCORP,SHELTON BANCORP INC,shelsv,shelsv
82485110,0.72,1993,1997,SHIVA CORP,"SHIVA CORPORATION (BEDFORD,MA)",shivc,shivc
82539P10,0.774193548,1994,1999,SHOWCASE CORP,SHOWCASE CORPORATION (MN),shwcrp,shwcrp
82640910,0.717948718,1987,1995,SIERRA ON-LINE INC,"Sierra Entertainment, Inc",sonli,
82655N10,0.971428571,1992,2004,SIGHT RESOURCE CORP,Sight Resources Corp,newvs,newvs
82663110,0.740740741,1987,1997,SIGNAL CORP,Federal Signal Corp,fedsc,
82705710,0.923076923,1994,2009,SILICON STORAGE TECHNOLOGY,Silicon Storage Technology Inc,sistte,sistte
82900L10,0.23255814,2013,2018,SIMPLY GOOD FOODS COMPANY,Conyers Park Acquisition Corp,cknypp,
82906010,0.894736842,1972,1999,SIMPSON INDUSTRIES,SIMPSON INDUSTRIES INC,smpsi,smpsi
82922610,0.844444444,1994,2018,SINCLAIR BROADCAST GP,Sinclair Broadcast Group Inc,sinbrd,sinbrd
83265310,0.85,1995,2006,SMITHWAY MTR XPRESS,Smithway Motor Xpress Corp,sthmot,sthmot
83304A10,0.8,2015,2018,SNAP INC,Snapchat Inc.,fjfvpl,fjfvpl
83348210,0.916666667,1989,1998,SNYDER OIL CORP,SNYDER OIL CO,snyoil,snyoil
83377710,0.789473684,1992,1998,SODAK GAMING INC,Sodak Gaming Supplies Inc,sodgam,
83402810,0.888888889,1990,1996,SOFTWARE ARTISTRY INC,Software Artistry,sarty,sarty
83427A10,0.894736842,1992,1999,SOLOMON-PAGE GROUP LTD,Solomon-Page Group LLC,solpge,solpge
83586Q20,0.85106383,1986,2003,SORRENTO NETWORKS CORP,Sorrento Networks Corporation,oscomt,oscomt
84133810,0.85106383,1958,1990,SOUTHEAST BANKING CORP,Southeast Banking Corporation,sebnk,sebnk
84258710,0.833333333,1951,2018,SOUTHERN CO,Southern Company Inc,sothco,sothco
84474110,0.944444444,1971,2018,SOUTHWEST AIRLINES,Southwest Airlines Co.,swairl,swairl
84490920,0.913043478,1986,2010,SOUTHWALL TECHNOLOGIES,Southwall Technologies Inc,soutec,soutec
84502A10,0.905660377,1999,2018,SOUTHWEST GEORGIA FINL CORP,Southwest Georgia Financial Corp,swgeof,swgeof
84624710,0.744186047,1992,2001,SPACELABS MEDICAL INC,Spacelabs Healthcare Inc.,spaclb,
84639610,0.925925926,1982,2016,SPAN-AMERICA MEDICAL SYS INC,Span-America Medical Systems Inc,spams,spams
84721510,0.666666667,1991,2018,SPARTANNASH CO,Spartan Stores Inc,spast,
84748Q10,0.975609756,1995,2000,SPECIALTY CATALOG CORP,Speciality Catalog Corp,specat,specat
84751T30,0.777777778,2002,2008,SPECIALTY UNDERWRITERS,Specialty Underwriters' Alliance Inc,spunal,
84856510,0.72,1982,2013,SPIRE CORP,Spire Corporation,spico,spico
84857L10,0.4,1951,2018,SPIRE INC,Laclede Group Inc,lg,
84892610,0.85,1980,2000,SPINNAKER INDS INC,Spinnaker Industries Inc,sarase,sarase
84892710,0.818181818,1991,1996,SPINE-TECH INC,SPINE TECH (MN),spintc,spintc
85223510,0.888888889,1974,1995,SQUARE INDUSTRIES INC,Square Industries,sqai,sqai
85366610,0.837209302,1960,2018,STANDARD MOTOR PRODS,Standard Motor Products Inc,smpr,smpr
85440210,0.928571429,1982,1998,STANFORD TELECOMMUNICATIONS,"Stanford Telecommunications, Inc.",stant,stant
85528P10,0.844444444,2002,2008,STARENT NETWORKS CORP,Starent Networks Corporation,strntw,strntw
85571610,0.857142857,1988,2010,STATE BANCORP/NY,State Bancorp Inc,stban,stban
85747710,,,,STATE STREET CORP,State Street Corporation,ssbt,ssbt
85815410,0.904761905,1987,1997,STEEL OF WEST VIRGINIA,STEEL OF WEST VIRGINIA INC,stewv,stewv
85849510,0.909090909,1994,2012,STEINWAY MUSICAL INSTRS INC,Steinway Musical Instruments Inc,selr,selr
85928110,0.904761905,1962,1996,STERLING ELECTRONICS,STERLING ELECTRONICS CORP,stec,stec
86034210,0.923076923,1976,2005,STEWART & STEVENSON SERVICES,Stewart & Stevenson Services Inc,stst,stst
86268310,0.818181818,1987,1995,STRATACOM INC,STRATACOM,strtcm,strtcm
86279T10,0.777777778,1986,2005,STRATEX NETWORKS INC,Aviat Networks Inc.,dgmas,
86355510,0.928571429,1986,2000,STRUCTURAL DYNAMICS RESEARCH,Structural Dynamics Research Corp,sdr,sdr
86366710,0.75862069,1978,2018,STRYKER CORP,Stryker Corporation,stry,stry
86376110,0.857142857,1974,1991,STUART HALL CO INC,STUART HALL COMPANY,stuh,stuh
86422110,0.903225806,1994,1999,STYLECLICK.COM INC,Styleclick Inc,modcad,modcad
86447110,0.916666667,1991,1997,SUBURBAN OSTOMY SUPPLY CO,SUBURBAN OSTOMY SUPPLY CO INC,subost,subost
86530010,0.916666667,1987,1996,SULLIVAN DENTAL PRODUCTS INC,SULLIVAN DENTAL PRODUCTS,suldnt,suldnt
86600810,0.787878788,1983,1994,SUMMIT BANCORPORATION,Summit Bancorp,subn,subn
86605710,0.844444444,1990,2004,SUMMIT FINANCIAL CORP,Summit Financial Corporation,snbsp,snbsp
86671310,0.846153846,1966,1991,SUN ELECTRIC CORP,SUN ELECTRIC,sunelc,sunelc
86732Y10,0.4,1994,2014,SUNEDISON INC,MEMC Electronic Materials Inc,memcem,
86765410,0.928571429,1992,2000,SUNQUEST INFORMATION SYS INC,Sunquest Information Systems Inc,sqinsy,sqinsy
86792720,0.904761905,1987,1993,SUNWARD TECHNOLOGIES,SUNWARD TECHNOLOGIES INC,cctc,cctc
86805710,0.818181818,1988,1995,SUPERCUTS INC,SUPERCUTS,supcut,supcut
86843310,0.9,1987,1993,SUPERMAC TECHNOLOGY INC,SUPERMAC TECHNOLOGY (CA),supmac,supmac
86881920,0.84,1988,2001,SURGICAL LASER TECH INC,Surgical Laser Technologies Inc,surglt,surglt
86890110,0.872727273,1989,1995,SURGICAL TECHNOLOGIES INC,Salient Surgical Technologies Inc.,tlmedi,tlmedi
87075610,0.897959184,1989,2006,SWIFT TRANSPORTATION CO INC,Swift Transportation Co LLC,swftr,swftr
87090310,0.882352941,1990,1999,SYBRON CHEMICALS INC,SYBRON CHEMICALS,sybchm,sybchm
87114210,0.92,1997,2005,SYBRON DENTAL SPECIALTIES,Sybron Dental Specialties Inc,sybden,sybden
87160910,0.897959184,1985,1993,SYNOPTICS COMMUNICATIONS INC,SYNOPTIC COMMUNICATIONS,synopt,synopt
87166B10,0.466666667,2011,2018,SYNEOS HEALTH INC,"INC Research, LLC",incrsh,
87187310,0.884615385,1982,2003,SYSTEMS & COMPUTER TECH CORP,Systems & Computer Technology Corp,sctc,sctc
87224110,0.833333333,1982,1998,TCA CABLE TV INC,T C A CABLE TV,tcat,tcat
87265H10,0.777777778,2010,2018,TRI POINTE GROUP INC,"TRI Pointe Homes, Inc.",tphomz,tphomz
87287610,0.636363636,1979,1998,TSI INC/MN,TSI Incorporated,tsiinc,tsiinc
87603010,,,,TAPESTRY INC,Coach Inc,cochic,cochic
8.76E+14,,,,TARGET CORP,Target Corporation,dayhud,dayhud
87840910,0.961538462,1974,2017,TECHNICAL COMMUNICATIONS CP,Technical Communications Corp,tcom,tcom
87907510,0.75862069,1988,1996,TEJAS GAS CORP/DE,TransTexas Gas Corp,ttgas,
87943L10,0.904761905,1994,2000,TELEMATE.NET SOFTWARE,Telemate.net Software Inc,telmne,telmne
87943M30,0.72,1987,1997,TELEMUNDO GROUP INC,Telemundo Communications Group Inc,bljo,
87946310,0.807692308,1991,1997,TELEPORT COMM GROUP INC,Teleport Communications Group Inc,tlpocs,tlpocs
87960N10,0.816326531,1987,1994,TELIOS PHARMACEUTICALS INC,Matrix Pharmaceutical Inc,matpha,
87990810,0.923076923,1981,1990,TELESPHERE COMMUNICATIONS,Telesphere Communications Inc,tspin,tspin
88079010,0.857142857,1974,1993,TERMINAL DATA CORP,TERMINAL DATA,termd,termd
88244310,0.777777778,1998,2003,TEXAS GENCO HOLDINGS INC,Texas Genco Inc,txgenc,txgenc
8.83E+14,0.8,2003,2009,BANK HOLDINGS INC,Carolina Bank Holdings Inc,carlna,
88338K10,,,,ONE GP HOSPITALITY (THE),,,acqcri
88355910,0.909090909,1985,1999,THERMO INSTRUMENT SYSTEMS,THERMO INSTRUMENT SYSTEMS INC,thisin,thisin
88355K20,0.888888889,1987,1999,THERMO CARDIOSYSTEMS,Thermo Cardiosystems Inc,thmcar,thmcar
88358910,0.774193548,1986,1998,THERMO POWER CORP,THERMO POWER CORPORATION,tecgn,tecgn
88362410,0.75862069,1991,1999,THERMOLASE CORP,THERMOLASE CORPORATION,thrmls,thrmls
88448110,0.884615385,2000,2009,THOMAS WEISEL PARTNERS GRP,Thomas Weisel Partners Group Inc,tweisl,tweisl
88635540,0.916666667,1987,1995,TIDE WEST OIL CO,TIDE WEST OIL,tide,tide
88800230,0.787878788,1968,2004,TIPPERARY CORP,Tipperary Corporation,tprary,tprary
89008810,0.789473684,2002,2010,TOMOTHERAPY INC,Tomotherapy Incorporated,tomoti,tomoti
89154830,0.862745098,1993,2007,TOUCHSTONE SOFTWARE CORP,TouchStone Software Corporation,tchsw,tchsw
89214A10,0.916666667,2000,2018,TOWN SPORTS INTL HOLDINGS,Town Sports International Holdings Inc,twnspo,twnspo
89234920,0.727272727,1964,1997,TRACOR INC,Tracinda Corp,trcnda,
89288710,0.782608696,1982,1998,TRAK AUTO CORP,CSK Auto Corp,cskaut,
89416710,0.909090909,1985,1997,TRAVEL PORTS OF AMERICA INC,TRAVEL PORTS OF AMERICA,rdwmp,rdwmp
89784410,0.92,1960,2000,TRUE NORTH COMMUNICATIONS,True North Communications Inc.,fcb,fcb
89830410,0.756756757,1987,2003,TRUST CO NJ JERSEY CITY,The Trust Company of New Jersey,trcom,trcom
89834910,0.9375,1982,2018,TRUSTCO BANK CORP/NY,Trustco Bank Corp NY,trstny,trstny
89865210,0.888888889,1974,1995,TUCKER DRILLING CO INC,Tucker Drilling Company,tuckd,tuckd
89969010,0.962962963,1996,2007,TUMBLEWEED COMMUNICATIONS CO,Tumbleweed Communications Corp,tmblwd,tmblwd
90027310,,,,TURNER CORP,,,trncon
90116710,0.862068966,1996,2006,TWEETER HOME ENTMT GROUP INC,Tweeter Home Entertainment Group Inc,tweetr,tweetr
90130A30,0.744186047,1986,2018,TWENTY-FIRST CENTURY FOX INC,21st Century Fox Inc.,newsc,newsc
90141210,0.882352941,1994,1999,TWIN CITY BANCORP INC,Twin City Bancorp,tcsb,tcsb
90294810,0.844444444,1996,2002,U S PLASTIC LUMBER CORP,US Plastic Lumber Corporation,usplas,usplas
90329M10,0.894736842,1990,1994,U S DELIVERY SYSTEMS INC,US Delivery Systems,usdels,usdels
90400010,0.92,1991,2000,ULTRAMAR DIAMOND SHAMROCK,Ultramar Diamond Shamrock Corp,ultrco,ultrco
90607210,0.7,1960,1997,UNION CORP,Bank One Corp,bone,
90919610,0.761904762,1992,1997,UNISON HEALTHCARE CORP,RainTree Healthcare Corp.,sunhea,
90919P10,0.756756757,1990,1996,UNISON SOFTWARE INC,Veritas Software Corp,tolsy,
90957210,0.913043478,1958,1990,UNITED BANKS OF COLORADO,UNITED BANKS OF COLORADO INC (CO),ubkcol,ubkcol
90979610,0.923076923,1987,1996,UNITED CAROLINA BANCSHARES,UNITED CAROLINA BANCSHARES CORP,ucar,ucar
91036530,0.88,1960,1998,UNITED FOODS,United Foods PCL,untfod,untfod
91068810,0.833333333,1963,1994,UNITED INNS INC,United Inns,ui,ui
91074010,0.826086957,1985,1992,UNITED INVESTORS MGMT CO,UNITED INVESTORS MANAGEMENT,uninvm,uninvm
91086510,0.837209302,1991,1997,UNITED MERIDIAN CORP,UNITED MERIDIAN CORPORATION,utdmdn,utdmdn
91154910,0.736842105,1974,2018,U S ANTIMONY CORP,United States Antimony Corp,usant,usant
91182F30,0.92,1990,2002,UNITED STATES EXPLORATION,United States Exploration Inc,usexpl,usexpl
91337810,0.821428571,1993,2003,UNIVERSAL AUTOMOTIVE INDS,Universal Automotive Industries Inc,uniaut,uniaut
9.13E+14,0.425531915,1983,2016,UNIVERSAL AMERICAN CORP,Caremark Ulysses Holding Corp,univhc,
91390310,0.92,1980,2018,UNIVERSAL HEALTH SVCS INC,Universal Health Services Inc,uhsib,uhsib
91732710,0.705882353,1994,1999,USWEB CORP,"U S WEB C K S (SANTA CLARA,CA)",uswebc,uswebc
91819310,0.72,1983,1998,V BAND CORPORATION,V Band Corp,vban,vban
91929110,0.787878788,1983,1993,VALLEY BANCORPORATION/WI,"VALLEY BANCORP (APPLETON,WI)",vybn,vybn
91929R10,0.787878788,2002,2005,VALLEY BANCORP,Central Valley Bancorp,mdscmb,
92208M10,0.75862069,1988,1997,VANSTAR CORP,VANSTAR CORPORATION (CA),cpland,cpland
92224810,0.740740741,1973,1998,VARLEN CORP,VARLEN CORPORATION,varcor,varcor
92276H10,0.979591837,1995,2006,VENTANA MEDICAL SYSTEM INC,Ventana Medical Systems Inc,vntmed,vntmed
92335110,0.790697674,1984,2012,VERAMARK TECHNOLOGIES INC,USA Technologies Inc,usaent,
92511610,0.894736842,1973,1996,VERSA TECHNOLOGIES INC,VERSA TECHNOLOGIES,vsat,
92552T10,0.782608696,1988,1994,VIAGENE INC,Vignette Corp,vignet,
92691310,0.909090909,1988,1998,VIKING OFFICE PRODUCTS INC,VIKING OFFICE PRODUCTS,vikoff,vikoff
92705110,0.736842105,1993,1998,VILLAGE BANCORP INC,Indian Village Bancorp,indvil,
92719B10,0.846153846,1994,1997,VINCAM GROUP INC,VINCAM GROUP,vincam,vincam
92765110,0.705882353,1963,2018,VIRCO MFG. CORP,Virco Manufacturing Corp,vir,vir
92778N10,0.842105263,1999,2000,VIRGINIA COMMONWEALTH FINL,Virginia Commonwealth Financial Corp,second,second
92856610,0.92,1999,2008,VNUS MEDICAL TECHNOLOGIES,VNUS Medical Technologies Inc,vnmdtc,vnmdtc
93005910,0.88372093,1996,2018,WADDELL&REED FINL INC,"Waddell & Reed Financial, Inc",wdlrea,wdlrea
93227010,0.92,1960,2002,WALLACE COMPUTER SVCS INC,Wallace Computer Services Inc,wcsy,wcsy
93369N10,0.769230769,1967,1998,WANG LABS INC,WANG GLOBAL INC,wangc,
93655910,0.92,1998,2003,WARWICK CMNTY BANCORP INC,Warwick Community Bancorp Inc,wrwckc,wrwckc
94113U10,0.75,1998,2005,WATER PIK TECHNOLOGIES INC,Teledyne Technologies Inc,tldtch,
94701510,0.666666667,1966,1992,WEAN INC/PA,Wean Incorporated,weanud,weanud
95190110,0.888888889,1992,1996,WEST COAST BANCORP INC/FL,"West Coast Bancorp (Cape Coral, FL)",wescob,wescob
95530610,0.892857143,1969,2018,WEST PHARMACEUTICAL SVSC INC,West Pharmaceutical Services Inc,wst,wst
95707110,0.972972973,1983,1991,WESTAIR HOLDING INC,"WESTAIR HOLDINGS INC (FRESNO,CA)",wstar,wstar
95768310,0.785714286,1993,1998,WESTERN BANCORP,PacWest Bancorp,fstdes,
95790710,0.8,1984,2005,WESTCORP,Westcorp Inc,wesfin,wesfin
95902410,0.88372093,1993,2003,WESTERN OHIO FINL CORP,Western Ohio Financial Corp,wohf,wohf
95922110,0.863636364,1994,2007,WESTERN PWR & EQUIP CORP,Western Power & Equipment Corp,wpowel,wpowel
9.60E+24,0.864864865,1995,2004,WESTERN WIRELESS CORP,Western Wireless LLC,weswir,weswir
96208T10,0.451612903,2002,2018,WEX INC,Wright Express Corporation,wrtexp,
96501010,0.787878788,1965,1997,WHITEHALL CORP,WHITEHALL CORPORATION,wht,wht
96758W10,0.838709677,2012,2018,WIDEOPENWEST INC,WideOpenWest LLC,wiopw,wiopw
96913310,0.909090909,1966,2001,WILLAMETTE INDUSTRIES,Willamette Industries Inc,wilin,wilin
97142610,0.85,1990,1999,WILMAR INDUSTRIES INC,Waxman Industries Inc,waxm,
98180910,0.888888889,1988,1998,WORTHINGTON FOODS INC,WORTHINGTON FOODS,wrthfd,wrthfd
98302410,0.769230769,1950,2008,WYETH,Wyeth Ltd,ahp,ahp
98375910,0.943396226,1997,2007,XM SATELLITE RADIO HLDGS INC,XM Satellite Radio Holdings Inc,xmsats,xmsats
98392910,0.857142857,1989,1996,XPEDITE SYSTEMS INC,"Xpedite Systems, LLC",xpedsy,xpedsy
98477910,0.87804878,1989,1999,YANKEE ENERGY SYSTEMS INC,YANKEE ENERGY SYSTEM,yanken,yanken
98583410,0.85106383,1993,1997,YES ENTERTAINMENT CORP,YES! Entertainment Corporation,yesent,yesent
98919V10,0.764705882,2010,2018,ZAYO GROUP HOLDINGS INC,Zayo Group Inc,zabayo,zabayo
98920710,0.808510638,1990,2018,ZEBRA TECHNOLOGIES CP,Zebra Technologies Corporation,zebtch,zebtch
98936520,0.833333333,1968,1993,ZENITH LABORATORIES,Zenith Laboratories Inc,zenlab,zenlab
98939010,0.961538462,1977,2009,ZENITH NATIONAL INSURANCE CP,Zenith National Insurance Corp,znat,znat
98970110,0.95,1974,2018,ZIONS BANCORPORATION NA,Zions Bancorporation,zion,zion
G2112510,0.943396226,2005,2017,CHINA NETWORKS INTL HOLDINGS,China Networks International Holdings Ltd.,adadeq,adadeq
G8988C10,0.64516129,1999,2013,TOWER GROUP INTL LTD,"Tower Group, Inc.",twrgpp,twrgpp
431910,0.821428571,1995,2007,ACCESS WORLDWIDE CMMNCTNS,Access Worldwide Communications Inc,cltacc,cltacc
00437P10,0.892857143,1998,2006,ACCREDITED HOME LENDERS HLDG,Accredited Home Lenders Holdings Co,aclend,aclend
00753B10,0.888888889,1991,1999,ADV MACHINE VISION CORP,ADVANCED MACHINE VISION CORP,aplasy,aplasy
754810,0.84,1974,2001,ADV TECHNICAL PRODUCTS INC,Technical Products Group Inc,tpghol,
755610,0.769230769,2006,2008,ADVANCED TECHNOLOGY ACQ CORP,Advanced Technology Acquisition Corporation,atacq,atacq
00757T10,0.847457627,1980,2004,ADV NEUROMODULATION SYS INC,Advanced Neuromodulation Systems Inc,qmed,qmed
00760G10,0.925925926,1993,1997,AEGIS CONSUMER FDG GROUP INC,Aegis Consumer Funding Group Inc,aecfg,aecfg
7.61E+12,0.941176471,1996,2005,ADVANCED POWER TECHNOL INC,Advanced Power Technology Inc,adpote,adpote
797310,0.88,1994,2018,ADVANCED ENERGY INDS INC,Advanced Energy Industries Inc,adenin,adenin
818210,0.372093023,1974,1991,AFFILIATED BANKSHARES COLO,Banc One Colorado Inc,afbk,
826210,0.731707317,1973,1992,AFFILIATED PUBNS,AFFILIATED PUBLICATIONS INC,affp,affp
00826M10,0.961538462,1995,2007,AFFINITY TECHNOLOGY GRP INC,Affinity Technology Group Inc,afftc,afftc
827210,0.896551724,1999,2014,AFFIRMATIVE INS HOLDINGS INC,Affirmative Insurance Holdings Inc,affm,affm
910410,0.941176471,1974,1998,AIR EXPRESS INTERNATIONAL CP,Air Express International Corp,airexp,airexp
1242310,0.92,1997,2016,ALBANY MOLECULAR RESH INC,Albany Molecular Research Inc,albres,albres
1860630,0.928571429,1986,2016,ALLIANCE HEALTHCARE SVCS INC,Alliance HealthCare Services Inc.,allim,allim
1880010,0.96,1984,1992,ALLIANT COMPUTER SYSTEMS CP,Alliant Computer Systems Corp,allint,allint
01975T10,0.857142857,1983,1996,ALLMERICA PPTY &CASUALTY COS,ALLMERICA PROPERTY & CASUALTY,hins,hins
02505A20,0.867924528,2003,2015,AMERICAN CARESOURCE HLDGS,American Caresource Holdings Inc,acrshi,acrshi
02516B10,0.945454545,1993,2001,AMERICAN COIN MERCHNDSNG INC,American Coin Merchandising Inc,amrcnn,amrcnn
02520W10,0.92,2000,2008,AMERICAN CMNTY BANCSHARES,American Community Bancshares,amcomb,amcomb
2538910,0.923076923,1991,1997,AMERICAN DISPOSAL SVCS INC,AMERICAN DISPOSAL SERVICES INC,amdisp,amdisp
2607510,0.945454545,1998,2001,AMERICAN FINANCIAL HLDGS INC,American Financial Holdings Inc,amerfi,amerfi
2649620,0.509090909,1983,1993,AMER HEALTHCARE MGMT,Agency for Healthcare Research and Quality,usahrq,
02660R10,0.71875,1996,2006,AMERICAN HOME MTG INVT CORP,American Home Mortgage Investment Corporation,amhomm,amhomm
2733920,0.4,1963,1994,AMERICAN MAIZE-PRODS,Archer Daniels Midland Company,arch,
